iter	Logloss
0	0.5993984634
1	0.5294655101
2	0.4738325633
3	0.4303899467
4	0.3978006106
5	0.3742089465
6	0.3553999287
7	0.3425079467
8	0.3298558388
9	0.3208929171
10	0.3130463717
11	0.3073737536
12	0.3027866894
13	0.2987876321
14	0.2956455471
15	0.292737539
16	0.2906808087
17	0.2888628096
18	0.2874818312
19	0.2861884156
20	0.2849862512
21	0.2841966
22	0.2835806034
23	0.2829786443
24	0.2825260787
25	0.2818856356
26	0.2814817942
27	0.2808652595
28	0.2802623596
29	0.2799051705
30	0.2794483412
31	0.2791306683
32	0.2787974561
33	0.2784411813
34	0.2780426611
35	0.2777342328
36	0.2775200837
37	0.2772716522
38	0.2769328242
39	0.2765364148
40	0.2762845759
41	0.2760350305
42	0.2757999111
43	0.2756069379
44	0.2753084685
45	0.2750015332
46	0.2748782216
47	0.2746310132
48	0.2744741732
49	0.2742970165
50	0.2741490981
51	0.274004523
52	0.2736959194
53	0.2734905101
54	0.2733289869
55	0.2732709799
56	0.273123572
57	0.2729070738
58	0.2727747575
59	0.2726621619
60	0.272498742
61	0.272311574
62	0.272183191
63	0.2719154791
64	0.2717977203
65	0.2716617717
66	0.2715724517
67	0.2713643432
68	0.2710680633
69	0.2708658868
70	0.2706617185
71	0.2704653022
72	0.2702585892
73	0.2700854079
74	0.2698228636
75	0.2696327602
76	0.2695740598
77	0.2693989725
78	0.2692588213
79	0.2691410559
80	0.2689364287
81	0.268843692
82	0.2686512126
83	0.2684997265
84	0.2684237431
85	0.2682539485
86	0.2681679376
87	0.2681050765
88	0.2680075024
89	0.2679112808
90	0.2678012546
91	0.2676359184
92	0.2675041787
93	0.2673278767
94	0.2672417236
95	0.2671020008
96	0.2669918381
97	0.266863277
98	0.2667580526
99	0.2666057586
100	0.266379341
101	0.2662780018
102	0.2661680464
103	0.2659750375
104	0.2657846696
105	0.2656665612
106	0.2654552818
107	0.2652893913
108	0.2650614676
109	0.2648845345
110	0.2647677186
111	0.2646668947
112	0.2645503648
113	0.2643872522
114	0.2642155812
115	0.2640384906
116	0.2638551086
117	0.2636293002
118	0.263485959
119	0.2633533639
120	0.2632055961
121	0.2630690589
122	0.2629865979
123	0.262855175
124	0.2627219107
125	0.2625976284
126	0.262478714
127	0.2622799392
128	0.2621661292
129	0.2620033039
130	0.2618866761
131	0.2617894918
132	0.2616674665
133	0.2614892102
134	0.2612467482
135	0.2611358121
136	0.2609277314
137	0.2607545176
138	0.2606179497
139	0.2604532766
140	0.260347881
141	0.2601936683
142	0.260004615
143	0.2598658601
144	0.2597294974
145	0.2595218857
146	0.259413207
147	0.2592546175
148	0.2591352974
149	0.2589591291
150	0.2588104606
151	0.2587031526
152	0.2586023733
153	0.2584677845
154	0.2583580935
155	0.2582618694
156	0.25809375
157	0.2579879993
158	0.257906427
159	0.2578484881
160	0.25759283
161	0.2573935588
162	0.2572309165
163	0.257057934
164	0.2568876593
165	0.2567951849
166	0.256635553
167	0.2565246454
168	0.2564290397
169	0.2563095454
170	0.2561686501
171	0.2560509446
172	0.2559521137
173	0.2557281015
174	0.2556466689
175	0.255574423
176	0.2554505168
177	0.2552636784
178	0.2551739995
179	0.2550708391
180	0.2549213393
181	0.254830278
182	0.2547687148
183	0.2546001553
184	0.2544908493
185	0.2544265307
186	0.2543042534
187	0.2541794607
188	0.2540667673
189	0.2539780458
190	0.2538549912
191	0.2537881191
192	0.253705868
193	0.2534902436
194	0.2533154493
195	0.2531907961
196	0.2530762742
197	0.252939422
198	0.2528606454
199	0.2527757831
